,molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
691,CHEMBL3671495,5,nM,FC(F)C(=O)NCCOc1cc2ncnc(Nc3ccc(Br)cc3F)c2cc1NC(=O)C=C,8.301029996,523.0466862,6,3,4.1596,TRUE
692,CHEMBL3671499,5,nM,Fc1cc(Br)ccc1Nc1ncnc2cc(OCCNC(=O)C=C)c(NC(=O)C=C)cc12,8.301029996,499.0655298,6,3,4.0805,TRUE
694,CHEMBL3759929,5,nM,COc1ccc(CO)cc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2s1,8.301029996,391.1354479,6,2,5.0323,TRUE
697,CHEMBL3962343,5,nM,COc1cc(NC(C)C)ccc1Nc1ncc(Cl)c(Nc2cccc(NC(=O)C=C)c2)n1,8.301029996,452.1727517,7,4,5.5706,TRUE
698,CHEMBL402294,5,nM,CCO\N=C\c1c(N)ncnc1Nc1ccc2n(Cc3cccc(F)c3)ncc2c1,8.301029996,405.1713365,8,2,3.7099,TRUE
699,CHEMBL332882,5,nM,Nc1cccc(c1)-c1[nH]nc2ncnc(Nc3cccc(Cl)c3)c12,8.301029996,336.0890221,5,3,3.9991,TRUE
700,CHEMBL3758939,5,nM,C[C@@H](Nc1ncnc2sc(cc12)-c1cccc(c1)C(N)=O)c1ccccc1,8.301029996,374.1201322,5,2,4.6303,TRUE
704,CHEMBL310827,5,nM,Cc1c[nH]c2ccc(Nc3ncnc4cc(sc34)-c3ccccc3)cc12,8.301029996,356.1095675,4,2,5.89162,TRUE
705,CHEMBL248392,5,nM,COc1cc2c(N[C@@H]3C[C@H]3c3ccccc3)c(cnc2cc1OCCCN1CCOCC1)C#N,8.301029996,458.2317908,7,1,4.18418,TRUE
706,CHEMBL3357655,5,nM,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1NC(=O)C(\F)=C/C[NH+](C)C,8.301029996,473.0862652,6,2,4.498,TRUE
707,CHEMBL80809,5,nM,CC(=O)NCC[NH2+]Cc1ccc(cc1)-c1cc2ncnc(Nc3ccc4[nH]ccc4c3)c2s1,8.301029996,456.1732304,6,4,4.8089,TRUE
708,CHEMBL312818,5,nM,C(CN(c1cc2ncnc(Nc3ccc4[nH]ccc4c3)c2s1)n1ccnc1)Cc1ccccc1,8.301029996,465.1735647,7,2,6.0152,TRUE
710,CHEMBL4079501,5,nM,COc1cc(N(C)CC[NH+](C)C)c(NC(=O)C=C)cc1Nc1n[nH]c2cc(ccc12)-c1ccncc1,8.301029996,485.2539232,7,3,4.4994,TRUE
711,CHEMBL4216679,5,nM,COc1nn(C)cc1Nc1nc(nc2n(cnc12)C(C)C)N1C[C@@H](F)[C@@H](C1)NC(=O)C=C,8.301029996,443.2193493,10,2,1.7218,TRUE
712,CHEMBL197640,5,nM,C[NH+]1CCC(CC1)Oc1cccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c12,8.301029996,492.172832,6,1,6.2179,TRUE
713,CHEMBL399371,5,nM,CCOc1cc2ncnc(\C=C\CCc3ccccc3)c2cc1OCC,8.301029996,348.183778,4,0,5.0732,TRUE
714,CHEMBL4168254,5,nM,C[NH+](C)C\C=C\C(=O)Nc1cc2c(ncnc2cc1O[C@@H]1CCOC1)N1CCc2ccccc12,8.301029996,459.2270398,7,1,3.548,TRUE
715,CHEMBL3758802,5,nM,COc1cc(CO)ccc1-c1cc2c(Nc3cccc(c3)C#C)ncnc2s1,8.301029996,387.1041478,6,2,4.5841,TRUE
716,CHEMBL299893,5,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCC(O)C[NH+](CCO)CCO,8.301029996,480.1575758,9,4,2.2008,TRUE
717,CHEMBL56266,5,nM,C[NH2+]CC(O)COc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,8.301029996,406.1207964,7,3,3.1336,TRUE
718,CHEMBL3114701,5,nM,CC1CC[NH+](CC1)C\C=C\C(=O)N1CCOc2cc3ncnc(Nc4cccc(c4)C#C)c3cc12,8.301029996,467.2321252,6,1,4.3682,TRUE
719,CHEMBL3114686,5,nM,CC1CCCC[NH+]1C\C=C\C(=O)N1CCOc2cc3ncnc(Nc4cccc(c4)C#C)c3cc12,8.301029996,467.2321252,6,1,4.5107,TRUE
720,CHEMBL3759022,5,nM,COc1cc(CO)ccc1-c1cc2c(NCc3ccccc3)ncnc2s1,8.301029996,377.1197978,6,2,4.4713,TRUE
721,CHEMBL3114687,5,nM,CC[NH+](CC)C\C=C\C(=O)N1CCOc2cc3ncnc(Nc4cccc(c4)C#C)c3cc12,8.301029996,441.2164751,6,1,3.9781,TRUE
722,CHEMBL332612,5,nM,Nc1ccc(Nc2[nH]nc3ncnc(Nc4cccc(Cl)c4)c23)cc1,8.301029996,351.0999211,6,4,4.0757,TRUE
723,CHEMBL3416625,5,nM,COc1ccccc1-c1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,8.301029996,385.0451889,5,1,5.903,TRUE
724,CHEMBL3814816,5.06,nM,Clc1ccc(Nc2ncnc3ccc(NC(=S)NCCN4CCOCC4)cc23)cc1,8.295849483,442.134258,6,3,3.6454,TRUE
725,CHEMBL3542268,5.06,nM,OCc1ccc(o1)-c1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,8.295849483,475.1098974,6,2,6.4972,TRUE
726,CHEMBL289162,5.1,nM,[O-]C(=O)Cn1ccc2cc3c(Nc4cccc(Br)c4)ncnc3cc12,8.292429824,396.0221878,5,2,4.1752,TRUE
728,CHEMBL2437463,5.12,nM,C=CC(=O)Nc1cccc(c1)N1C(=O)C=Nc2cnc(Nc3ccc(cc3)N3CCCCC3)nc12,8.290730039,467.206973,8,2,4.0341,TRUE
729,CHEMBL4290568,5.2,nM,COc1cc(N(C)CC[NH+](C)C)c(NC(=O)C=C=C)cc1Nc1ncc(C)c(n1)-c1cn(C)c2ccccc12,8.283996656,525.2852234,8,2,4.97332,TRUE
730,CHEMBL3622671,5.3,nM,O=C(Nc1cc2c(Nc3cccc(c3)C#C)ncnc2cc1O[C@H]1CCOC1)\C=C\C[NH+]1CCCCC1,8.27572413,497.2426899,7,2,4.503,TRUE
731,CHEMBL4068839,5.3,nM,Nc1ncnc2n(nc(-c3ccc(OCc4ccccn4)c(Cl)c3)c12)[C@@H]1CCCN(C1)C(=O)C=C,8.27572413,489.1680007,8,1,4.0524,TRUE
732,CHEMBL3933539,5.3,nM,COc1ccc(cc1)-c1cc2c(N[C@H](C)c3ccccc3)ncnc2o1,8.27572413,345.1477268,5,1,5.0715,TRUE
734,CHEMBL1243255,5.35,nM,CCOc1cc2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\C[NH2+]C,8.271646218,453.1367808,6,3,4.75538,TRUE
736,CHEMBL3897723,5.4,nM,COc1ccc(\C=C\C(=N\Nc2nncc3ccccc23)c2ccc(Cl)cc2)cc1,8.26760624,414.1247389,5,1,5.8214,TRUE
737,CHEMBL3218346,5.4,nM,Brc1cccc(Nc2cc(Nc3cccc(NC(=O)C=C)c3)ncn2)c1,8.26760624,409.0538222,5,3,4.8508,TRUE
738,CHEMBL126384,5.4,nM,Brc1cccc(Nc2ncnc3cc(NCCCC[NH+]4CCOCC4)ncc23)c1,8.26760624,456.1273215,7,2,4.0552,TRUE
740,CHEMBL338215,5.4,nM,C[NH+](C)CCCCNc1cc2ncnc(Nc3cccc(C)c3)c2cn1,8.26760624,350.2218948,6,2,3.83052,TRUE
742,CHEMBL3622655,5.5,nM,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)\C=C\C[NH+](C)C1CC1,8.259637311,469.1680809,6,2,5.1535,TRUE
743,CHEMBL3699611,5.5,nM,COc1cc(ccc1Nc1ncc(Cl)c(Oc2cccc(NC(=O)C=C)c2)n1)N1CCCOCC1,8.259637311,495.167332,8,2,5.0257,TRUE
744,CHEMBL3699622,5.5,nM,COc1cc(ccc1Nc1ncc(c(Nc2cccc(NC(=O)C=C)c2)n1)C(F)(F)F)N1CCS(=O)(=O)CC1,8.259637311,562.1610089,9,3,4.3505,TRUE
745,CHEMBL3699615,5.5,nM,COc1cc(ccc1Nc1ncc(Cl)c(Nc2cccc(NC(=O)C=C)c2)n1)N1CCN(CC1)S(C)(=O)=O,8.259637311,557.1612011,9,3,3.8319,TRUE
746,CHEMBL3699586,5.5,nM,COc1cc(ccc1Nc1ncc(Cl)c(Nc2cccc(NC(=O)C=C)c2)n1)N1CCN(CC1)C(C)=O,8.259637311,521.1942154,8,3,4.4188,TRUE
747,CHEMBL3699587,5.5,nM,COc1cc(ccc1Nc1ncc(Cl)c(Oc2cccc(NC(=O)C=C)c2)n1)N1CCN(CC1)C(C)=O,8.259637311,522.178231,8,2,4.4675,TRUE
748,CHEMBL3699603,5.5,nM,CNC(=O)N1CCN(CC1)c1ccc(Nc2ncc(c(Nc3cccc(NC(=O)C=C)c3)n2)C(F)(F)F)c(OC)c1,8.259637311,570.2314714,8,4,4.5771,TRUE
749,CHEMBL3699583,5.5,nM,COc1cc(ccc1Nc1ncc(Cl)c(Oc2cccc(NC(=O)C=C)c2)n1)N1CCN(CC1)C(=O)CO,8.259637311,538.1731456,9,3,3.4399,TRUE
750,CHEMBL1643971,5.5,nM,COc1cc(ccc1Nc1ncc(Cl)c(Oc2cccc(NC(=O)C=C)c2)n1)N1CCOCC1,8.259637311,481.1516819,8,2,4.6356,TRUE
751,CHEMBL3699584,5.5,nM,COc1cc(ccc1Nc1ncc(c(Nc2cccc(NC(=O)C=C)c2)n1)C(F)(F)F)N1CCN(CC1)C(=O)CO,8.259637311,571.215487,9,4,3.7566,TRUE
756,CHEMBL3699602,5.5,nM,COc1cc(ccc1Nc1ncc(c(Oc2cccc(NC(=O)C=C)c2)n1)C(F)(F)F)N1CCN(CC1)S(N)(=O)=O,8.259637311,593.1668226,9,3,3.4899,TRUE
758,CHEMBL3699588,5.5,nM,COc1cc(ccc1Nc1ncc(c(Oc2cccc(NC(=O)C=C)c2)n1)C(F)(F)F)N1CCN(CC1)C(C)=O,8.259637311,556.204588,8,2,4.8329,TRUE
761,CHEMBL3818563,5.52,nM,CCOc1cc2ncnc(N[C@@H](C)c3ccccc3)c2cc1NC(=O)[C@@H]1COC(=O)N1,8.258060922,421.1750042,7,3,3.2485,TRUE
762,CHEMBL3357641,5.52,nM,C[NH+](C)C\C=C(/F)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,8.258060922,503.1535737,7,2,4.6871,TRUE
763,CHEMBL1928291,5.54,nM,Fc1ccc(Nc2ncnc3sc(cc23)C(=O)c2cc3ccccc3[nH]2)cc1Cl,8.256490235,422.0404379,5,2,5.9397,TRUE
764,CHEMBL2437479,5.6,nM,COc1ccc(Nc2ncc3N=CC(=O)N(c4cccc(NC(=O)C=C)c4)c3n2)cc1,8.251811973,414.1440384,8,2,3.0524,TRUE
765,CHEMBL3903713,5.6,nM,N(\N=C(\C=C\c1ccccc1)c1ccccc1)c1nncc2ccccc12,8.251811973,350.1531466,4,1,5.1594,TRUE
766,CHEMBL3622676,5.6,nM,O=C(Nc1cc2c(Nc3cccc(c3)C#C)ncnc2cc1O[C@H]1CCOC1)\C=C\C[NH2+]C1CC1,8.251811973,469.2113897,7,3,3.7691,TRUE
767,CHEMBL1873475,5.6,nM,Nc1ncnc2n(nc(-c3ccc(Oc4ccccc4)cc3)c12)[C@@H]1CCCN(C1)C(=O)C=C,8.251811973,440.196074,7,1,4.2173,TRUE
768,CHEMBL4076854,5.6,nM,COc1ccc(NC(=O)C=C)cc1Nc1cc(ccn1)-c1cnc(SC)[nH]1,8.251811973,381.1259458,6,3,4.0703,TRUE
769,CHEMBL341522,5.6,nM,C[NH+]1CCN(CCCNc2cc3ncnc(Nc4cccc(C)c4)c3cn2)CC1,8.251811973,391.2484439,7,2,3.12622,TRUE
771,CHEMBL248393,5.7,nM,COc1cc2c(N[C@@H]3C[C@H]3c3ccccc3)c(cnc2cc1OCCCN1CC[NH+](C)CC1)C#N,8.244125144,471.2634253,7,1,4.09938,TRUE
773,CHEMBL3219347,5.78,nM,COc1cc(ccc1Nc1ncc2C(=O)N(C)C(Cc3ccc(F)cc3)C(=O)N(c3cccc(NC(=O)C=C)c3)c2n1)N1CC[NH+](C)CC1,8.238072162,664.2921799,9,2,4.6058,TRUE
775,CHEMBL3622629,5.8,nM,Fc1ccc(Nc2ncnc3cc(O[C@H]4CCOC4)c(NC(=O)C=C)cc23)cc1Cl,8.236572006,428.1051463,6,2,4.4581,TRUE
776,CHEMBL53203,5.8,nM,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(Oc4ccccc4)cc3)c2c1,8.236572006,382.1429758,5,2,5.2902,TRUE
778,CHEMBL69071,5.9,nM,CC1CN(CC(C)[NH2+]1)C(=O)c1cc(C)c([nH]1)\C=C1/C(=O)Nc2ncnc(Nc3ccc(F)c(Cl)c3)c12,8.229147988,509.1742289,6,4,3.96432,TRUE
779,CHEMBL1928312,5.93,nM,COc1ccc2[nH]c(cc2c1)C(=O)c1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,8.226945307,452.0510026,6,2,5.9483,TRUE
780,CHEMBL3622648,6,nM,C[NH+](C)C\C=C\C(=O)Nc1cc2c(Nc3cccc(c3)C#C)ncnc2cc1OC1CCOCC1,8.22184875,471.2270398,7,2,3.9688,TRUE
783,CHEMBL206955,6,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1CN1CCC[C@@H]1C(N)=O,8.22184875,429.1367808,6,2,3.6242,TRUE
784,CHEMBL461795,6,nM,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1C[NH+]1CC[C@H](C1)C(N)=O,8.22184875,429.1367808,6,2,3.4817,TRUE
785,CHEMBL3926558,6,nM,COc1cc2ncnc(N[C@H](C)c3ccccc3)c2cc1OC1CN(C1)C(=O)C=C,8.22184875,404.1848406,6,1,3.5871,TRUE
